"nodes","clique","ibft","qbft","pbft"
4,,1,,1
5,1,0.951111111111111,1,
6,,,,0.84
7,,0.8,,
8,,0.577777777777778,,
10,0.866666666666667,0.522222222222222,0.995698924731183,
12,,,,0.56
15,,,0.860215053763441,
17,,,0.817204301075269,
18,,,,0.56
19,,,0.623655913978495,
20,0.8,0.511111111111111,0.580645161290323,
24,,,,
25,0.733333333333333,0.488888888888889,0.537634408602151,
